region,distributor,counter_type,day_time_type,rate_occurrence,cost_type,,kva_range_low,kva_range_high,amount_eur,amount_eur_tincl,time_of_day_start,time_of_day_end,date_start,date_end
bru,sibelga,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08471698113,0.0898,,, 2024-01-01, 2024-12-31
bru,sibelga,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.08471698113,0.0898,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
bru,sibelga,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.06349056604,0.0673,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
bru,sibelga,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.06349056604,0.0673,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
bru,sibelga,,,per_kwh,transport,Coûts de transport,,,0.01301886792,0.0138,,, 2024-01-01, 2024-12-31
bru,sibelga,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,10.11320755,10.72,,, 2024-01-01, 2024-12-31
bru,sibelga,,,annual_per_kw,prosumer,Tarif prosumer,,,0,0,,, 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,comm,,annual_per_kw,capacity,Tarif de capacité,,,43.39622642,46,,, 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,comm,simple,per_kwh,distribution_simple,,,,0.05386792453,0.0571,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03924528302,0.0416,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,classic,,annual,capacity,,,,0.06764150943,115.01,,, 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07990566038,0.0847,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06528301887,0.0692,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_gaselwest,classic,,annual_per_kw,prosumer,Tarif prosumer,,,53.99056604,57.23,,, 2024-01-01, 2024-12-31
vl,fluvius_imewo,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_imewo,comm,,annual_per_kw,capacity,Tarif de capacité,,,39.40566038,41.77,,, 2024-01-01, 2024-12-31
vl,fluvius_imewo,comm,simple,per_kwh,distribution_simple,,,,0.04452830189,0.0472,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_imewo,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03330188679,104.43,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_imewo,classic,,annual,capacity,,,,0.06764150943,0.0353,,, 2024-01-01, 2024-12-31
vl,fluvius_imewo,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.05641509434,0.0717,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_imewo,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05641509434,0.0598,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_imewo,classic,,annual_per_kw,prosumer,Tarif prosumer,,,45.66981132,48.41,,, 2024-01-01, 2024-12-31
vl,fluvius_intergem,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_intergem,comm,,annual_per_kw,capacity,Tarif de capacité,,,35.12264151,37.23,,, 2024-01-01, 2024-12-31
vl,fluvius_intergem,comm,simple,per_kwh,distribution_simple,,,,0.03820754717,0.0405,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_intergem,comm,night_excl,per_kwh,distribution_night_excl,,,,0.02905660377,0.0308,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_intergem,classic,,annual,capacity,,,,87.81132075,93.08,,, 2024-01-01, 2024-12-31
vl,fluvius_intergem,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.06056603774,0.0642,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_intergem,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05141509434,0.0545,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_intergem,classic,,annual_per_kw,prosumer,Tarif prosumer,,,40.9245283,43.38,,, 2024-01-01, 2024-12-31
vl,fluvius_iveka,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_iveka,comm,,annual_per_kw,capacity,Tarif de capacité,,,41.22641509,43.7,,, 2024-01-01, 2024-12-31
vl,fluvius_iveka,comm,simple,per_kwh,distribution_simple,,,,0.04377358491,0.0464,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iveka,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03245283019,0.0344,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iveka,classic,,annual,capacity,,,,103.0471698,109.23,,, 2024-01-01, 2024-12-31
vl,fluvius_iveka,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.06716981132,0.0712,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iveka,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05575471698,0.0591,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iveka,classic,,annual_per_kw,prosumer,Tarif prosumer,,,45.35849057,48.08,,, 2024-01-01, 2024-12-31
vl,fluvius_iverlek,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_iverlek,comm,,annual_per_kw,capacity,Tarif de capacité,,,39.55660377,41.93,,, 2024-01-01, 2024-12-31
vl,fluvius_iverlek,comm,simple,per_kwh,distribution_simple,,,,0.04330188679,0.0459,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03264150943,0.0346,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,,annual,capacity,,,,98.87735849,104.81,,, 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.06735849057,0.0714,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05669811321,0.0601,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,,annual_per_kw,prosumer,Tarif prosumer,,,45.47169811,48.2,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,,annual_per_kw,capacity,Tarif de capacité,,,53.38679245,56.59,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,simple,per_kwh,distribution_simple,,,,0.04443396226,0.0471,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,night_excl,per_kwh,distribution_night_excl,,,,0.0358490566,0.038,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,,annual,capacity,,,,133.4716981,141.48,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07669811321,0.0813,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06811320755,0.0722,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,,annual_per_kw,prosumer,Tarif prosumer,,,51.80188679,54.91,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,,annual_per_kw,capacity,Tarif de capacité,,,43.87735849,46.51,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,simple,per_kwh,distribution_simple,,,,0.04971698113,0.0527,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03735849057,0.0396,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,,annual,capacity,,,,109.6981132,116.28,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07424528302,0.0787,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06188679245,0.0656,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
