distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
aieg,,,,annual,management,21.84,21,,,,, 2020-01-01, 2020-12-31,
aieg,simple,,simple,per_kwh,distribution_simple,0.0461482,21,,,,, 2020-01-01, 2020-12-31,
aieg,simple,,day,per_kwh,distribution_day,0.0491680,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
aieg,simple,,night,per_kwh,distribution_night,0.0344658,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,simple,,night_excl,per_kwh,distribution_night_excl,0.0285086,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,false,simple,per_kwh,distribution_simple,0.0461482,21,,,,, 2020-01-01, 2020-12-31,
aieg,smart,false,day,per_kwh,distribution_day,0.0491680,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,false,night,per_kwh,distribution_night,0.0344658,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,false,night_excl,per_kwh,distribution_night_excl,0.0285086,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,true,simple,per_kwh,distribution_simple,0.0143591,21,,,,, 2020-01-01, 2020-12-31,
aieg,smart,true,day,per_kwh,distribution_day,0.0143591,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,true,night,per_kwh,distribution_night,0.0111041,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,true,night_excl,per_kwh,distribution_night_excl,0.0111041,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
aieg,smart,true,,annual_per_kw,peak,8.7299494,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
aieg,smart,true,,annual_per_kw,peak_monthly_avrg,2.9099831,21,,,,, 2020-01-01, 2020-12-31,Pointe du mois pendant la période tarifaire de pointe
aieg,,,,annual_per_kw,prosumer,55.2670209,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,annual,injection,12.85,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,injection,2.6159225,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,public_service,0.0063703,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,road_fee,0.0027044,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,corp_tax,0.002959,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,reg_balance,0.0002642,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,monthly,accise,4.74801887,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,green_certs,0.02858491,21,,,,, 2020-01-01, 2020-12-31,
aieg,,,,per_kwh,connection,0.00070755,21,,,,, 2020-01-01, 2020-12-31,
,,,,,,,,,,,,,,
aieg,,,,annual,management,22.07,21,,,,, 2021-01-01, 2021-12-31,
aieg,simple,,simple,per_kwh,distribution_simple,0.0468794,21,,,,, 2021-01-01, 2021-12-31,
aieg,simple,,day,per_kwh,distribution_day,0.0499415,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
aieg,simple,,night,per_kwh,distribution_night,0.0350788,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,simple,,night_excl,per_kwh,distribution_night_excl,0.029038,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,false,simple,per_kwh,distribution_simple,0.0468794,21,,,,, 2021-01-01, 2021-12-31,
aieg,smart,false,day,per_kwh,distribution_day,0.0499415,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,false,night,per_kwh,distribution_night,0.0350788,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,false,night_excl,per_kwh,distribution_night_excl,0.029038,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,true,simple,per_kwh,distribution_simple,0.0146443,21,,,,, 2021-01-01, 2021-12-31,
aieg,smart,true,day,per_kwh,distribution_day,0.0146443,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,true,night,per_kwh,distribution_night,0.0113893,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,true,night_excl,per_kwh,distribution_night_excl,0.0113893,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
aieg,smart,true,,annual_per_kw,peak,8.8524343,21,,,,, 2021-01-01, 2021-12-31,Pointe historique pendant la période tarifaire de pointe
aieg,smart,true,,annual_per_kw,peak_monthly_avrg,2.9508114,21,,,,, 2021-01-01, 2021-12-31,Pointe du mois pendant la période tarifaire de pointe
aieg,,,,annual_per_kw,prosumer,55.7262402,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,annual,injection,13.11,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,injection,2.656731,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,public_service,0.0063491,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,road_fee,0.002747,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,corp_tax,0.0030172,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,reg_balance,0.0005941,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,monthly,accise,4.74801887,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,green_certs,0.02858491,21,,,,, 2021-01-01, 2021-12-31,
aieg,,,,per_kwh,connection,0.00070755,21,,,,, 2021-01-01, 2021-12-31,
,,,,,,,,,,,,,,
aieg,,,,annual,management,21.99,21,,,,, 2022-01-01, 2022-02-28,
aieg,simple,,simple,per_kwh,distribution_simple,0.0465092,21,,,,, 2022-01-01, 2022-02-28,
