distributor,counter_type,day_time_type,rate_occurrence,cost_type,kva_range_low,kva_range_high,amount_eur,tax_pct,time_of_day_start,time_of_day_end,date_start,date_end,
fluvius_antwerpen,,day,per_kwh,distribution_day,,,0.0850439,,6:00:00,22:00:00, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,night,per_kwh,distribution_night,,,0.0652817,,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,night_excl,per_kwh,distribution_night_excl,,,0.0519352,,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,,annual,management_quarter_hour,,,12.51,,,, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,,annual,management_month_year,,,11.53,,,, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,,annual_per_kw,prosumer,,,54.21,,,, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,,monthly,accise,,,0.04747442,21,,, 2022-01-01, 2022-02-28,federal
fluvius_antwerpen,,,per_kwh,energy_contribution,,,0.00192610,21,,, 2022-01-01, 2022-02-28,federal
fluvius_antwerpen,,,per_kwh,green_certs,,,0.01,21,,, 2022-01-01, 2022-02-28,
fluvius_antwerpen,,,per_kwh,cogen,,,0.00,21,,, 2022-01-01, 2022-02-28,
,,,,,,,,,,,,,
fluvius_antwerpen,,day,per_kwh,distribution_day,,,0.0850439,,6:00:00,22:00:00, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,night,per_kwh,distribution_night,,,0.0652817,,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,night_excl,per_kwh,distribution_night_excl,,,0.0519352,,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,,annual,management_quarter_hour,,,12.51,,,, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,,annual,management_month_year,,,11.53,,,, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,,annual_per_kw,prosumer,,,54.21,,,, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,,monthly,accise,,,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_antwerpen,,,per_kwh,energy_contribution,,,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_antwerpen,,,per_kwh,green_certs,,,0.01,6,,, 2022-03-01, 2022-12-31,
fluvius_antwerpen,,,per_kwh,cogen,,,0.00,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,,,
fluvius_antwerpen,smart,,annual_per_kw,capacity,,,37.765,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,smart,,per_kwh,distribution_simple,,,0.0353012,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,smart,night_excl,per_kwh,distribution_night_excl,,,0.0245464,,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_antwerpen,smart,,annual,management_quarter_hour,,,13.71,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,smart,,annual,management_month_year,,,12.63,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,smart,,per_kwh,maximum,,,0.1920264,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,classic,,annual_per_kw,capacity,,,94.41,,,, 2023-01-01, 2023-12-31,
fluvius_antwerpen,classic,,per_kwh,distribution_simple,,,0.053852,,,, 2023-01-01, 2023-12-31,
