distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
fluvius_imewo,,,day,per_kwh,distribution_day,0.1008013,21,6:00:00,22:00:00,,,2022-01-01,2022-02-28,
fluvius_imewo,,,night,per_kwh,distribution_night,0.0767061,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_imewo,,,night_excl,per_kwh,distribution_night_excl,0.0613210,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_imewo,,,,annual,management_quarter_hour,12.51,21,,,,,2022-01-01,2022-02-28,
fluvius_imewo,,,,annual,management_month_year,11.53,21,,,,,2022-01-01,2022-02-28,
fluvius_imewo,,,,annual_per_kw,prosumer,64.15,21,,,,,2022-01-01,2022-02-28,
fluvius_imewo,,,,monthly,accise,0.04747442,21,,,,,2022-01-01,2022-02-28,federal
fluvius_imewo,,,,per_kwh,energy_contribution,0.00192610,21,,,,,2022-01-01,2022-02-28,federal
fluvius_imewo,,,,per_kwh,green_certs,0.01,21,,,,,2022-01-01,2022-02-28,
fluvius_imewo,,,,per_kwh,cogen,0.00,21,,,,,2022-01-01,2022-02-28,
,,,,,,,,,,,,,,
fluvius_imewo,,,day,per_kwh,distribution_day,0.1008013,6,6:00:00,22:00:00,,,2022-03-01,2022-12-31,
fluvius_imewo,,,night,per_kwh,distribution_night,0.0767061,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_imewo,,,night_excl,per_kwh,distribution_night_excl,0.0613210,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_imewo,,,,annual,management_quarter_hour,12.51,6,,,,,2022-03-01,2022-12-31,
fluvius_imewo,,,,annual,management_month_year,11.53,6,,,,,2022-03-01,2022-12-31,
fluvius_imewo,,,,annual_per_kw,prosumer,64.15,6,,,,,2022-03-01,2022-12-31,
fluvius_imewo,,,,monthly,accise,0.04747442,6,,,,,2022-03-01,2022-12-31,federal
fluvius_imewo,,,,per_kwh,energy_contribution,0.00192610,6,,,,,2022-03-01,2022-12-31,federal
fluvius_imewo,,,,per_kwh,green_certs,0.01,6,,,,,2022-03-01,2022-12-31,
fluvius_imewo,,,,per_kwh,cogen,0.00,6,,,,,2022-03-01,2022-12-31,
,,,,,,,,,,,,,,
fluvius_imewo,smart,,,annual_per_kw,peak_monthly_avrg,41.0444,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,smart,,,per_kwh,distribution_simple,0.0378329,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,smart,,night_excl,per_kwh,distribution_night_excl,0.0266581,6,22:00:00,6:00:00,,,2023-01-01,2023-12-31,
fluvius_imewo,smart,,,annual,management_quarter_hour,13.71,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,smart,,,annual,management_month_year,12.63,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,smart,,,per_kwh,maximum,0.1920264,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,classic,,,annual,capacity,102.61,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,classic,,,per_kwh,distribution_simple,0.058821,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,classic,,night_excl,per_kwh,distribution_night_excl,0.0476462,6,22:00:00,6:00:00,,,2023-01-01,2023-12-31,
fluvius_imewo,classic,,,annual,management_month_year,12.63,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,classic,,,annual_per_kw,prosumer,39.74,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,,,,monthly,accise,0.04747442,6,,,,,2023-01-01,2023-12-31,federal
fluvius_imewo,,,,per_kwh,energy_contribution,0.00192610,6,,,,,2023-01-01,2023-12-31,federal
fluvius_imewo,,,,per_kwh,green_certs,0.01141509434,6,,,,,2023-01-01,2023-12-31,
fluvius_imewo,,,,per_kwh,cogen,0.003962264151,6,,,,,2023-01-01,2023-12-31,
,,,,,,,,,,,,,,
fluvius_imewo,smart,,,annual_per_kw,peak_monthly_avrg,39.4069,6,,,,,2024-01-01,2024-12-31,
fluvius_imewo,smart,,simple,per_kwh,distribution_simple,0.0445054,6,6:00:00,22:00:00,,,2024-01-01,2024-12-31,
fluvius_imewo,smart,,night_excl,per_kwh,distribution_night_excl,0.0333427,6,22:00:00,6:00:00,,,2024-01-01,2024-12-31,
fluvius_imewo,smart,,,annual,management_quarter_hour,14.28,6,,,,,2024-01-01,2024-12-31,
fluvius_imewo,smart,,,annual,management_month_year,13.16,6,,,,,2024-01-01,2024-12-31,
fluvius_imewo,smart,,,per_kwh,maximum,0.1920264,6,,,,,2024-01-01,2024-12-31,
