distributor,counter_type,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,date_start,date_end,
fluvius_iveka,,day,per_kwh,distribution_day,0.1146580,21,6:00:00,22:00:00, 2022-01-01, 2022-02-28,
fluvius_iveka,,night,per_kwh,distribution_night,0.0907238,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_iveka,,night_excl,per_kwh,distribution_night_excl,0.0666724,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_iveka,,,annual,management_quarter_hour,12.51,21,,, 2022-01-01, 2022-02-28,
fluvius_iveka,,,annual,management_month_year,11.53,21,,, 2022-01-01, 2022-02-28,
fluvius_iveka,,,annual_per_kw,prosumer,73.53,21,,, 2022-01-01, 2022-02-28,
fluvius_iveka,,,monthly,accise,0.04747442,21,,, 2022-01-01, 2022-02-28,federal
fluvius_iveka,,,per_kwh,energy_contribution,0.00192610,21,,, 2022-01-01, 2022-02-28,federal
fluvius_iveka,,,per_kwh,green_certs,0.01,21,,, 2022-01-01, 2022-02-28,
fluvius_iveka,,,per_kwh,cogen,0.00,21,,, 2022-01-01, 2022-02-28,
,,,,,,,,,,,
fluvius_iveka,,day,per_kwh,distribution_day,0.1146580,6,6:00:00,22:00:00, 2022-03-01, 2022-12-31,
fluvius_iveka,,night,per_kwh,distribution_night,0.0907238,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_iveka,,night_excl,per_kwh,distribution_night_excl,0.0666724,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_iveka,,,annual,management_quarter_hour,12.51,6,,, 2022-03-01, 2022-12-31,
fluvius_iveka,,,annual,management_month_year,11.53,6,,, 2022-03-01, 2022-12-31,
fluvius_iveka,,,annual_per_kw,prosumer,73.53,6,,, 2022-03-01, 2022-12-31,
fluvius_iveka,,,monthly,accise,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iveka,,,per_kwh,energy_contribution,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iveka,,,per_kwh,green_certs,0.01,6,,, 2022-03-01, 2022-12-31,
fluvius_iveka,,,per_kwh,cogen,0.00,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,
fluvius_iveka,smart,,annual_per_kw,capacity,42.4804,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,smart,,per_kwh,distribution_simple,0.0397490,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,smart,night_excl,per_kwh,distribution_night_excl,0.0272727,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_iveka,smart,,annual,management_quarter_hour,13.71,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,smart,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,smart,,per_kwh,maximum,0.1920264,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,classic,,annual_per_kw,capacity,106.20,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,classic,,per_kwh,distribution_simple,0.0601848,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,classic,night_excl,per_kwh,distribution_night_excl,0.0477085,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_iveka,classic,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,classic,,annual_per_kw,prosumer,40.66,6,,, 2023-01-01, 2023-12-31,
fluvius_iveka,,,monthly,accise,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iveka,,,per_kwh,energy_contribution,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iveka,,,per_kwh,green_certs,0.01141509434,6,,, 2022-03-01, 2022-12-31,
fluvius_iveka,,,per_kwh,cogen,0.003962264151,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,
fluvius_iveka,smart,,annual_per_kw,capacity,41.2218,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,smart,simple,per_kwh,distribution_simple,0.0437663,6,6:00:00,22:00:00, 2024-01-01, 2024-12-31,
fluvius_iveka,smart,night_excl,per_kwh,distribution_night_excl,0.0324186,6,22:00:00,6:00:00, 2024-01-01, 2024-12-31,
fluvius_iveka,smart,,annual,management_quarter_hour,14.28,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,smart,,annual,management_month_year,13.16,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,smart,,per_kwh,maximum,0.1920264,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,classic,,annual_per_kw,capacity,103.05,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,classic,simple,per_kwh,distribution_simple,0.067145,6,6:00:00,22:00:00, 2024-01-01, 2024-12-31,
fluvius_iveka,classic,night_excl,per_kwh,distribution_night_excl,0.0557973,6,22:00:00,6:00:00, 2024-01-01, 2024-12-31,
fluvius_iveka,classic,,annual,management_month_year,13.16,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,classic,,annual_per_kw,prosumer,45.36,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,,,monthly,accise,0.04748018868,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,,,per_kwh,energy_contribution,0.001926415094,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,,,per_kwh,green_certs,0.01141509434,6,,, 2024-01-01, 2024-12-31,
fluvius_iveka,,,per_kwh,cogen,0.003962264151,6,,, 2024-01-01, 2024-12-31,
