distributor,counter_type,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,date_start,date_end,
fluvius_iverlek,,day,per_kwh,distribution_day,0.1017921,21,6:00:00,22:00:00, 2022-01-01, 2022-02-28,
fluvius_iverlek,,night,per_kwh,distribution_night,0.0775357,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_iverlek,,night_excl,per_kwh,distribution_night_excl,0.0612071,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_iverlek,,,annual,management_quarter_hour,12.51,21,,, 2022-01-01, 2022-02-28,
fluvius_iverlek,,,annual,management_month_year,11.53,21,,, 2022-01-01, 2022-02-28,
fluvius_iverlek,,,annual_per_kw,prosumer,64.79,21,,, 2022-01-01, 2022-02-28,
fluvius_iverlek,,,monthly,accise,0.04747442,21,,, 2022-01-01, 2022-02-28,federal
fluvius_iverlek,,,per_kwh,energy_contribution,0.00192610,21,,, 2022-01-01, 2022-02-28,federal
fluvius_iverlek,,,per_kwh,green_certs,0.01,21,,, 2022-01-01, 2022-02-28,
fluvius_iverlek,,,per_kwh,cogen,0.00,21,,, 2022-01-01, 2022-02-28,
,,,,,,,,,,,
fluvius_iverlek,,day,per_kwh,distribution_day,0.1017921,6,6:00:00,22:00:00, 2022-03-01, 2022-12-31,
fluvius_iverlek,,night,per_kwh,distribution_night,0.0775357,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_iverlek,,night_excl,per_kwh,distribution_night_excl,0.0612071,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,annual,management_quarter_hour,12.51,6,,, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,annual,management_month_year,11.53,6,,, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,annual_per_kw,prosumer,64.79,6,,, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,monthly,accise,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iverlek,,,per_kwh,energy_contribution,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iverlek,,,per_kwh,green_certs,0.0114,6,,, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,per_kwh,cogen,0.0040,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,
fluvius_iverlek,smart,,annual_per_kw,capacity,41.2021,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,smart,,per_kwh,distribution_simple,0.0366568,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,smart,night_excl,per_kwh,distribution_night_excl,0.0261896,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_iverlek,smart,,annual,management_quarter_hour,13.71,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,smart,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,smart,,per_kwh,maximum,0.1920264,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,classic,,annual_per_kw,capacity,103.01,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,classic,,per_kwh,distribution_simple,0.0577862,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,classic,night_excl,per_kwh,distribution_night_excl,0.047319,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_iverlek,classic,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,classic,,annual_per_kw,prosumer,39.04,6,,, 2023-01-01, 2023-12-31,
fluvius_iverlek,,,monthly,accise,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iverlek,,,per_kwh,energy_contribution,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_iverlek,,,per_kwh,green_certs,0.01141509434,6,,, 2022-03-01, 2022-12-31,
fluvius_iverlek,,,per_kwh,cogen,0.003962264151,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,
fluvius_iverlek,smart,,annual_per_kw,capacity,39.5529,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,smart,simple,per_kwh,distribution_simple,0.0432819,6,6:00:00,22:00:00, 2024-01-01, 2024-12-31,
fluvius_iverlek,smart,night_excl,per_kwh,distribution_night_excl,0.0326278,6,22:00:00,6:00:00, 2024-01-01, 2024-12-31,
fluvius_iverlek,smart,,annual,management_quarter_hour,14.28,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,smart,,annual,management_month_year,13.16,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,smart,,per_kwh,maximum,0.1920264,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,classic,,annual_per_kw,capacity,98.88,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,classic,simple,per_kwh,distribution_simple,0.0673130,6,6:00:00,22:00:00, 2024-01-01, 2024-12-31,
fluvius_iverlek,classic,night_excl,per_kwh,distribution_night_excl,0.0566589,6,22:00:00,6:00:00, 2024-01-01, 2024-12-31,
fluvius_iverlek,classic,,annual,management_month_year,13.16,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,classic,,annual_per_kw,prosumer,45.47,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,,,monthly,accise,0.04748018868,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,,,per_kwh,energy_contribution,0.001926415094,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,,,per_kwh,green_certs,0.01141509434,6,,, 2024-01-01, 2024-12-31,
fluvius_iverlek,,,per_kwh,cogen,0.003962264151,6,,, 2024-01-01, 2024-12-31,
