distributor,counter_type,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,date_start,date_end,
fluvius_limburg,,day,per_kwh,distribution_day,0.0722218,21,6:00:00,22:00:00,2022-01-01,2022-02-28,
fluvius_limburg,,night,per_kwh,distribution_night,0.0568735,21,22:00:00,6:00:00,2022-01-01,2022-02-28,
fluvius_limburg,,night_excl,per_kwh,distribution_night_excl,0.0455263,21,22:00:00,6:00:00,2022-01-01,2022-02-28,
fluvius_limburg,,,annual,management_quarter_hour,12.51,21,,,2022-01-01,2022-02-28,
fluvius_limburg,,,annual,management_month_year,11.53,21,,,2022-01-01,2022-02-28,
fluvius_limburg,,,annual_per_kw,prosumer,46.27,21,,,2022-01-01,2022-02-28,
fluvius_limburg,,,monthly,accise,0.04747442,21,,,2022-01-01,2022-02-28,federal
fluvius_limburg,,,per_kwh,energy_contribution,0.00192610,21,,,2022-01-01,2022-02-28,federal
fluvius_limburg,,,per_kwh,green_certs,0.01,21,,,2022-01-01,2022-02-28,
fluvius_limburg,,,per_kwh,cogen,0.00,21,,,2022-01-01,2022-02-28,
,,,,,,,,,,,
fluvius_limburg,,day,per_kwh,distribution_day,0.0722218,6,6:00:00,22:00:00,2022-03-01,2022-12-31,
fluvius_limburg,,night,per_kwh,distribution_night,0.0568735,6,22:00:00,6:00:00,2022-03-01,2022-12-31,
fluvius_limburg,,night_excl,per_kwh,distribution_night_excl,0.0455263,6,22:00:00,6:00:00,2022-03-01,2022-12-31,
fluvius_limburg,,,annual,management_quarter_hour,12.51,6,,,2022-03-01,2022-12-31,
fluvius_limburg,,,annual,management_month_year,11.53,6,,,2022-03-01,2022-12-31,
fluvius_limburg,,,annual_per_kw,prosumer,46.27,6,,,2022-03-01,2022-12-31,
fluvius_limburg,,,monthly,accise,0.04747442,6,,,2022-03-01,2022-12-31,federal
fluvius_limburg,,,per_kwh,energy_contribution,0.00192610,6,,,2022-03-01,2022-12-31,federal
fluvius_limburg,,,per_kwh,green_certs,0.01,6,,,2022-03-01,2022-12-31,
fluvius_limburg,,,per_kwh,cogen,0.00,6,,,2022-03-01,2022-12-31,
,,,,,,,,,,,
fluvius_limburg,smart,,annual_per_kw,peak_monthly_avrg,35.518,6,,,2023-01-01,2023-12-31,
fluvius_limburg,smart,,per_kwh,distribution_simple,0.0372146,6,,,2023-01-01,2023-12-31,
fluvius_limburg,smart,night_excl,per_kwh,distribution_night_excl,0.0265581,6,22:00:00,6:00:00,2023-01-01,2023-12-31,
fluvius_limburg,smart,,annual,management_quarter_hour,13.71,6,,,2023-01-01,2023-12-31,
fluvius_limburg,smart,,annual,management_month_year,12.63,6,,,2023-01-01,2023-12-31,
fluvius_limburg,smart,,per_kwh,maximum,0.1920264,6,,,2023-01-01,2023-12-31,
fluvius_limburg,classic,,annual,capacity,88.80,6,,,2023-01-01,2023-12-31,
fluvius_limburg,classic,,per_kwh,distribution_simple,0.057402,6,,,2023-01-01,2023-12-31,
fluvius_limburg,classic,night_excl,per_kwh,distribution_night_excl,0.0467453,6,22:00:00,6:00:00,2023-01-01,2023-12-31,
fluvius_limburg,classic,,annual,management_month_year,12.63,6,,,2023-01-01,2023-12-31,
fluvius_limburg,classic,,annual_per_kw,prosumer,38.78,6,,,2023-01-01,2023-12-31,
fluvius_limburg,,,monthly,accise,0.04747442,6,,,2023-01-01,2023-12-31,federal
fluvius_limburg,,,per_kwh,energy_contribution,0.00192610,6,,,2023-01-01,2023-12-31,federal
fluvius_limburg,,,per_kwh,green_certs,0.01141509434,6,,,2023-01-01,2023-12-31,
fluvius_limburg,,,per_kwh,cogen,0.003962264151,6,,,2023-01-01,2023-12-31,
,,,,,,,,,,,
fluvius_limburg,smart,,annual_per_kw,peak_monthly_avrg,38.9704,6,,,2024-01-01,2024-12-31,
fluvius_limburg,smart,simple,per_kwh,distribution_simple,0.0508125,6,6:00:00,22:00:00,2024-01-01,2024-12-31,
fluvius_limburg,smart,night_excl,per_kwh,distribution_night_excl,0.037976,6,22:00:00,6:00:00,2024-01-01,2024-12-31,
fluvius_limburg,smart,,annual,management_quarter_hour,14.28,6,,,2024-01-01,2024-12-31,
fluvius_limburg,smart,,annual,management_month_year,13.16,6,,,2024-01-01,2024-12-31,
fluvius_limburg,smart,,per_kwh,maximum,0.1920264,6,,,2024-01-01,2024-12-31,
fluvius_limburg,classic,,annual,capacity,97.43,6,,,2024-01-01,2024-12-31,
fluvius_limburg,classic,simple,per_kwh,distribution_simple,0.0752512,6,6:00:00,22:00:00,2024-01-01,2024-12-31,
fluvius_limburg,classic,night_excl,per_kwh,distribution_night_excl,0.0624147,6,22:00:00,6:00:00,2024-01-01,2024-12-31,
fluvius_limburg,classic,,annual,management_month_year,13.16,6,,,2024-01-01,2024-12-31,
fluvius_limburg,classic,,annual_per_kw,prosumer,50.84,6,,,2024-01-01,2024-12-31,
fluvius_limburg,,,monthly,accise,0.04748018868,6,,,2024-01-01,2024-12-31,
fluvius_limburg,,,per_kwh,energy_contribution,0.001926415094,6,,,2024-01-01,2024-12-31,
fluvius_limburg,,,per_kwh,green_certs,0.01141509434,6,,,2024-01-01,2024-12-31,
fluvius_limburg,,,per_kwh,cogen,0.003962264151,6,,,2024-01-01,2024-12-31,
