distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
fluvius_pbe,,,day,per_kwh,distribution_day,0.0872020,21,6:00:00,22:00:00,,,2022-01-01,2022-02-28,
fluvius_pbe,,,night,per_kwh,distribution_night,0.0655564,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_pbe,,,night_excl,per_kwh,distribution_night_excl,0.0576956,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_pbe,,,,annual,management_quarter_hour,12.51,21,,,,,2022-01-01,2022-02-28,
fluvius_pbe,,,,annual,management_month_year,11.53,21,,,,,2022-01-01,2022-02-28,
fluvius_pbe,,,,annual_per_kw,prosumer,55.36,21,,,,,2022-01-01,2022-02-28,
fluvius_pbe,,,,monthly,accise,0.04747442,21,,,,,2022-01-01,2022-02-28,federal
fluvius_pbe,,,,per_kwh,energy_contribution,0.00192610,21,,,,,2022-01-01,2022-02-28,federal
fluvius_pbe,,,,per_kwh,green_certs,0.01,21,,,,,2022-01-01,2022-02-28,
fluvius_pbe,,,,per_kwh,cogen,0.00,21,,,,,2022-01-01,2022-02-28,
,,,,,,,,,,,,,,
fluvius_pbe,,,day,per_kwh,distribution_day,0.0872020,6,6:00:00,22:00:00,,,2022-03-01,2022-12-31,
fluvius_pbe,,,night,per_kwh,distribution_night,0.0655564,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_pbe,,,night_excl,per_kwh,distribution_night_excl,0.0576956,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_pbe,,,,annual,management_quarter_hour,12.51,6,,,,,2022-03-01,2022-12-31,
fluvius_pbe,,,,annual,management_month_year,11.53,6,,,,,2022-03-01,2022-12-31,
fluvius_pbe,,,,annual_per_kw,prosumer,55.36,6,,,,,2022-03-01,2022-12-31,
fluvius_pbe,,,,monthly,accise,0.04747442,6,,,,,2022-03-01,2022-12-31,federal
fluvius_pbe,,,,per_kwh,energy_contribution,0.00192610,6,,,,,2022-03-01,2022-12-31,federal
fluvius_pbe,,,,per_kwh,green_certs,0.01,6,,,,,2022-03-01,2022-12-31,
fluvius_pbe,,,,per_kwh,cogen,0.00,6,,,,,2022-03-01,2022-12-31,
,,,,,,,,,,,,,,
