distributor,counter_type,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,date_start,date_end,
fluvius_sibelgas,,day,per_kwh,distribution_day,0.1094478,21,6:00:00,22:00:00, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,night,per_kwh,distribution_night,0.0847220,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,night_excl,per_kwh,distribution_night_excl,0.0664798,21,22:00:00,6:00:00, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,,annual,management_quarter_hour,12.51,21,,, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,,annual,management_month_year,11.53,21,,, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,,annual_per_kw,prosumer,69.88,21,,, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,,monthly,accise,0.04747442,21,,, 2022-01-01, 2022-02-28,federal
fluvius_sibelgas,,,per_kwh,energy_contribution,0.00192610,21,,, 2022-01-01, 2022-02-28,federal
fluvius_sibelgas,,,per_kwh,green_certs,0.01141509434,21,,, 2022-01-01, 2022-02-28,
fluvius_sibelgas,,,per_kwh,cogen,0.003962264151,21,,, 2022-01-01, 2022-02-28,
,,,,,,,,,,,
fluvius_sibelgas,,day,per_kwh,distribution_day,0.1094478,6,6:00:00,22:00:00, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,night,per_kwh,distribution_night,0.0847220,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,night_excl,per_kwh,distribution_night_excl,0.0664798,6,22:00:00,6:00:00, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,,annual,management_quarter_hour,12.51,6,,, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,,annual,management_month_year,11.53,6,,, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,,annual_per_kw,prosumer,69.88,6,,, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,,monthly,accise,0.04747442,6,,, 2022-03-01, 2022-12-31,federal
fluvius_sibelgas,,,per_kwh,energy_contribution,0.00192610,6,,, 2022-03-01, 2022-12-31,federal
fluvius_sibelgas,,,per_kwh,green_certs,0.01141509434,6,,, 2022-03-01, 2022-12-31,
fluvius_sibelgas,,,per_kwh,cogen,0.003962264151,6,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,
fluvius_sibelgas,smart,,annual_per_kw,capacity,45.3922,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,smart,,per_kwh,distribution_simple,0.0431645,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,smart,night_excl,per_kwh,distribution_night_excl,0.0304568,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_sibelgas,smart,,annual,management_quarter_hour,13.71,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,smart,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,smart,,per_kwh,maximum,0.1920264,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,classic,,annual_per_kw,capacity,113.48,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,classic,,per_kwh,distribution_simple,0.0654622,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,classic,night_excl,per_kwh,distribution_night_excl,0.0527545,6,22:00:00,6:00:00, 2023-01-01, 2023-12-31,
fluvius_sibelgas,classic,,annual,management_month_year,12.63,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,classic,,annual_per_kw,prosumer,44.22,6,,, 2023-01-01, 2023-12-31,
fluvius_sibelgas,,,monthly,accise,0.04747442,6,,, 2023-01-01, 2023-12-31,federal
