distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
fluvius_west,,,day,per_kwh,distribution_day,0.07801,21,6:00:00,22:00:00,,,2022-01-01,2022-02-28,
fluvius_west,,,night,per_kwh,distribution_night,0.0594891,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_west,,,night_excl,per_kwh,distribution_night_excl,0.0484009,21,22:00:00,6:00:00,,,2022-01-01,2022-02-28,
fluvius_west,,,,annual,management_quarter_hour,12.51,21,,,,,2022-01-01,2022-02-28,
fluvius_west,,,,annual,management_month_year,11.53,21,,,,,2022-01-01,2022-02-28,
fluvius_west,,,,annual_per_kw,prosumer,49.66,21,,,,,2022-01-01,2022-02-28,
fluvius_west,,,,monthly,accise,0.04747442,21,,,,,2022-01-01,2022-02-28,federal
fluvius_west,,,,per_kwh,energy_contribution,0.00192610,21,,,,,2022-01-01,2022-02-28,federal
fluvius_west,,,,per_kwh,green_certs,0.01,21,,,,,2022-01-01,2022-02-28,
fluvius_west,,,,per_kwh,cogen,0.00,21,,,,,2022-01-01,2022-02-28,
,,,,,,,,,,,,,,
fluvius_west,,,day,per_kwh,distribution_day,0.07801,6,6:00:00,22:00:00,,,2022-03-01,2022-12-31,
fluvius_west,,,night,per_kwh,distribution_night,0.0594891,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_west,,,night_excl,per_kwh,distribution_night_excl,0.0484009,6,22:00:00,6:00:00,,,2022-03-01,2022-12-31,
fluvius_west,,,,annual,management_quarter_hour,12.51,6,,,,,2022-03-01,2022-12-31,
fluvius_west,,,,annual,management_month_year,11.53,6,,,,,2022-03-01,2022-12-31,
fluvius_west,,,,annual_per_kw,prosumer,49.66,6,,,,,2022-03-01,2022-12-31,
fluvius_west,,,,monthly,accise,0.04747442,6,,,,,2022-03-01,2022-12-31,federal
fluvius_west,,,,per_kwh,energy_contribution,0.00192610,6,,,,,2022-03-01,2022-12-31,federal
fluvius_west,,,,per_kwh,green_certs,0.01,6,,,,,2022-03-01,2022-12-31,
fluvius_west,,,,per_kwh,cogen,0.00,6,,,,,2022-03-01,2022-12-31,
,,,,,,,,,,,,,,
fluvius_west,smart,,,annual_per_kw,peak_monthly_avrg,38.757,6,,,,,2023-01-01,2023-12-31,
fluvius_west,smart,,,per_kwh,distribution_simple,0.0360218,6,,,,,2023-01-01,2023-12-31,
fluvius_west,smart,,night_excl,per_kwh,distribution_night_excl,0.0257044,6,22:00:00,6:00:00,,,2023-01-01,2023-12-31,
fluvius_west,smart,,,annual,management_quarter_hour,13.71,6,,,,,2023-01-01,2023-12-31,
fluvius_west,smart,,,annual,management_month_year,12.63,6,,,,,2023-01-01,2023-12-31,
fluvius_west,smart,,,per_kwh,maximum,0.1920264,6,,,,,2023-01-01,2023-12-31,
fluvius_west,classic,,,annual,capacity,96.89,6,,,,,2023-01-01,2023-12-31,
fluvius_west,classic,,,per_kwh,distribution_simple,0.0576373,6,,,,,2023-01-01,2023-12-31,
fluvius_west,classic,,night_excl,per_kwh,distribution_night_excl,0.0473199,6,22:00:00,6:00:00,,,2023-01-01,2023-12-31,
fluvius_west,classic,,,annual,management_month_year,12.63,6,,,,,2023-01-01,2023-12-31,
fluvius_west,classic,,,annual_per_kw,prosumer,38.94,6,,,,,2023-01-01,2023-12-31,
fluvius_west,,,,monthly,accise,0.04747442,6,,,,,2023-01-01,2023-12-31,federal
fluvius_west,,,,per_kwh,energy_contribution,0.00192610,6,,,,,2023-01-01,2023-12-31,federal
fluvius_west,,,,per_kwh,green_certs,0.01141509434,6,,,,,2023-01-01,2023-12-31,
fluvius_west,,,,per_kwh,cogen,0.003962264151,6,,,,,2023-01-01,2023-12-31,
,,,,,,,,,,,,,,
fluvius_west,smart,,,annual_per_kw,peak_monthly_avrg,41.7973,6,,,,,2024-01-01,2024-12-31,
fluvius_west,smart,,simple,per_kwh,distribution_simple,0.045479,6,6:00:00,22:00:00,,,2024-01-01,2024-12-31,
fluvius_west,smart,,night_excl,per_kwh,distribution_night_excl,0.0343797,6,22:00:00,6:00:00,,,2024-01-01,2024-12-31,
fluvius_west,smart,,,annual,management_quarter_hour,14.28,6,,,,,2024-01-01,2024-12-31,
fluvius_west,smart,,,annual,management_month_year,13.16,6,,,,,2024-01-01,2024-12-31,
fluvius_west,smart,,,per_kwh,maximum,0.1920264,6,,,,,2024-01-01,2024-12-31,
fluvius_west,classic,,,annual,capacity,104.49,6,,,,,2024-01-01,2024-12-31,
fluvius_west,classic,,simple,per_kwh,distribution_simple,0.0703460,6,6:00:00,22:00:00,,,2024-01-01,2024-12-31,
fluvius_west,classic,,night_excl,per_kwh,distribution_night_excl,0.0592467,6,22:00:00,6:00:00,,,2024-01-01,2024-12-31,
fluvius_west,classic,,,annual,management_month_year,13.16,6,,,,,2024-01-01,2024-12-31,
fluvius_west,classic,,,annual_per_kw,prosumer,47.52,6,,,,,2024-01-01,2024-12-31,
fluvius_west,,,,monthly,accise,0.04748018868,6,,,,,2024-01-01,2024-12-31,
fluvius_west,,,,per_kwh,energy_contribution,0.001926415094,6,,,,,2024-01-01,2024-12-31,
fluvius_west,,,,per_kwh,green_certs,0.01141509434,6,,,,,2024-01-01,2024-12-31,
fluvius_west,,,,per_kwh,cogen,0.003962264151,6,,,,,2024-01-01,2024-12-31,
