distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
ores_brabant_wallon,,,,annual,management,13.18,21,,,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,simple,,simple,per_kwh,distribution_simple,0.0645655,21,,,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,simple,,day,per_kwh,distribution_day,0.0695373,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,simple,,night,per_kwh,distribution_night,0.0328436,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,simple,,night_excl,per_kwh,distribution_night_excl,0.0238467,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,false,simple,per_kwh,distribution_simple,0.0645655,21,,,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,false,day,per_kwh,distribution_day,0.0695373,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,false,night,per_kwh,distribution_night,0.0328436,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,false,night_excl,per_kwh,distribution_night_excl,0.0238467,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,true,simple,per_kwh,distribution_simple,0.0037212,21,,,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,true,day,per_kwh,distribution_day,0.0037212,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,true,night,per_kwh,distribution_night,0.0037212,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,true,night_excl,per_kwh,distribution_night_excl,0.0037212,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_brabant_wallon,smart,true,,annual_per_kw,peak,5.0116324,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
