distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
ores_mouscron,,,,annual,management,13.1800000,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,simple,,simple,per_kwh,distribution_simple,0.0656577,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,simple,,day,per_kwh,distribution_day,0.0706209,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,simple,,night,per_kwh,distribution_night,0.0347707,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,simple,,night_excl,per_kwh,distribution_night_excl,0.0254660,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,false,simple,per_kwh,distribution_simple,0.0656577,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,false,day,per_kwh,distribution_day,0.0706209,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,false,night,per_kwh,distribution_night,0.0347707,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,false,night_excl,per_kwh,distribution_night_excl,0.0254660,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,true,simple,per_kwh,distribution_simple,0.0037625,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,true,day,per_kwh,distribution_day,0.0037625,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,true,night,per_kwh,distribution_night,0.0037625,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,true,night_excl,per_kwh,distribution_night_excl,0.0037625,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_mouscron,smart,true,,annual_per_kw,peak,6.2189908,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
ores_mouscron,smart,true,,annual_per_kw,peak,2.0729969,21,,,,, 2020-01-01, 2020-12-31,Pointe du mois pendant la période tarifaire de pointe
ores_mouscron,,,,annual_per_kw,prosumer,65.1321210,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,public_service,0.01024190,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,road_fee,0.00280470,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,corp_tax,0.00418820,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,other_tax,0.00000060,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,reg_balance,-0.00352570,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,monthly,accise,4.74801887,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,green_certs,0.02858491,21,,,,, 2020-01-01, 2020-12-31,
ores_mouscron,,,,per_kwh,connection,0.00070755,21,,,,, 2020-01-01, 2020-12-31,
,,,,,,,,,,,,,,
ores_mouscron,,,,annual,management,13.06,21,,,,, 2021-01-01, 2021-12-31,
ores_mouscron,simple,,simple,per_kwh,distribution_simple,0.0667684,21,,,,, 2021-01-01, 2021-12-31,
ores_mouscron,simple,,day,per_kwh,distribution_day,0.0718187,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
ores_mouscron,simple,,night,per_kwh,distribution_night,0.0353397,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
