distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
ores_namur,,,,annual,management,13.1800000,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,simple,,simple,per_kwh,distribution_simple,0.0736596,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,simple,,day,per_kwh,distribution_day,0.0792390,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,simple,,night,per_kwh,distribution_night,0.0379554,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,simple,,night_excl,per_kwh,distribution_night_excl,0.0277454,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,false,simple,per_kwh,distribution_simple,0.0736596,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,smart,false,day,per_kwh,distribution_day,0.0792390,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,false,night,per_kwh,distribution_night,0.0379554,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,false,night_excl,per_kwh,distribution_night_excl,0.0277454,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,true,simple,per_kwh,distribution_simple,0.0045874,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,smart,true,day,per_kwh,distribution_day,0.0045874,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,true,night,per_kwh,distribution_night,0.0045874,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,true,night_excl,per_kwh,distribution_night_excl,0.0045874,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_namur,smart,true,,annual_per_kw,peak,5.5260146,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
ores_namur,smart,true,,annual_per_kw,peak_monthly_avrg,1.8420048,21,,,,, 2020-01-01, 2020-12-31,Pointe du mois pendant la période tarifaire de pointe
ores_namur,,,,annual_per_kw,prosumer,72.2365021,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,public_service,0.00920610,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,road_fee,0.00283770,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,corp_tax,0.00476590,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,other_tax,0.00000790,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,reg_balance,0.00051860,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,monthly,accise,4.74801887,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,green_certs,0.02858491,21,,,,, 2020-01-01, 2020-12-31,
ores_namur,,,,per_kwh,connection,0.00070755,21,,,,, 2020-01-01, 2020-12-31,
