distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
ores_verviers,,,,annual,management,13.1800000,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,simple,,simple,per_kwh,distribution_simple,0.0813883,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,simple,,day,per_kwh,distribution_day,0.0876934,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,simple,,night,per_kwh,distribution_night,0.0425874,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,simple,,night_excl,per_kwh,distribution_night_excl,0.0309937,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,false,simple,per_kwh,distribution_simple,0.0813883,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,false,day,per_kwh,distribution_day,0.0876934,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,false,night,per_kwh,distribution_night,0.0425874,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,false,night_excl,per_kwh,distribution_night_excl,0.0309937,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,true,simple,per_kwh,distribution_simple,0.0044602,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,true,day,per_kwh,distribution_day,0.0044602,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,true,night,per_kwh,distribution_night,0.0044602,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,true,night_excl,per_kwh,distribution_night_excl,0.0044602,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
ores_verviers,smart,true,,annual_per_kw,peak,6.3832508,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
ores_verviers,smart,true,,annual_per_kw,peak_monthly_avrg,2.1277503,21,,,,, 2020-01-01, 2020-12-31,Pointe du mois pendant la période tarifaire de pointe
ores_verviers,,,,annual_per_kw,prosumer,81.6846934,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,public_service,0.01294430,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,road_fee,0.00291250,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,corp_tax,0.00559920,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,other_tax,0.00000990,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,reg_balance,0.00483920,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,monthly,accise,4.74801887,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,green_certs,0.02858491,21,,,,, 2020-01-01, 2020-12-31,
ores_verviers,,,,per_kwh,connection,0.00070755,21,,,,, 2020-01-01, 2020-12-31,
,,,,,,,,,,,,,,
ores_verviers,,,,annual,management,13.06,21,,,,, 2021-01-01, 2021-12-31,
ores_verviers,simple,,simple,per_kwh,distribution_simple,0.0827274,21,,,,, 2021-01-01, 2021-12-31,
ores_verviers,simple,,day,per_kwh,distribution_day,0.0891453,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,simple,,night,per_kwh,distribution_night,0.0432325,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,simple,,night_excl,per_kwh,distribution_night_excl,0.0314314,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,false,simple,per_kwh,distribution_simple,0.0827274,21,,,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,false,day,per_kwh,distribution_day,0.0891453,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,false,night,per_kwh,distribution_night,0.0432325,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,false,night_excl,per_kwh,distribution_night_excl,0.0314314,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,true,simple,per_kwh,distribution_simple,0.0044233,21,,,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,true,day,per_kwh,distribution_day,0.0044233,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,true,night,per_kwh,distribution_night,0.0044233,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,true,night_excl,per_kwh,distribution_night_excl,0.00442330,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
ores_verviers,smart,true,,annual_per_kw,peak,6.5150961,21,,,,, 2021-01-01, 2021-12-31,Pointe historique pendant la période tarifaire de pointe
ores_verviers,smart,true,,annual_per_kw,peak_monthly_avrg,2.1716987,21,,,,, 2021-01-01, 2021-12-31,Pointe du mois pendant la période tarifaire de pointe
ores_verviers,,,,annual_per_kw,prosumer,81.64357390,21,,,,, 2021-01-01, 2021-12-31,
ores_verviers,,,,per_kwh,public_service,0.0127986,21,,,,, 2021-01-01, 2021-12-31,
