distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,,,
sibelga,smart,false,,annual,management,10.23,21,,,,,2020-01-01,2020-12-31,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.0474400,21,7:00:00,22:00:00,,,2020-01-01,2020-12-31,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.0284640,21,22:00:00,7:00:00,,,2020-01-01,2020-12-31,,,
sibelga,smart,false,,annual,distribution,27.02,21,,,0,13,2020-01-01,2020-12-31,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,54.06,21,,,13,,2020-01-01,2020-12-31,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,517.82,21,,,,,2020-01-01,2020-12-31,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0154520,21,7:00:00,22:00:00,,,2020-01-01,2020-12-31,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0092700,21,22:00:00,7:00:00,,,2020-01-01,2020-12-31,,,
sibelga,smart,true,,annual_per_kw,peak,53.1793560,21,,,,,2020-01-01,2020-12-31,monthly peak,,
sibelga,simple,,,annual,management,258.91,21,,,,,2020-01-01,2020-12-31,,,
sibelga,simple,,day,per_kwh,distribution_day,0.0474400,21,7:00:00,22:00:00,,,2020-01-01,2020-12-31,,,
sibelga,simple,,night,per_kwh,distribution_night,0.0284640,21,22:00:00,7:00:00,,,2020-01-01,2020-12-31,,,
sibelga,simple,,,annual,distribution,27.02,21,,,0,13,2020-01-01,2020-12-31,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,54.06,21,,,13,,2020-01-01,2020-12-31,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.007030,21,,,,,2020-01-01,2020-12-31,,,
sibelga,,,,per_kwh,corp_tax,0.003130,21,,,,,2020-01-01,2020-12-31,,,
sibelga,,,,per_kwh,other_tax,0.001226,21,,,,,2020-01-01,2020-12-31,Charges de pensions non capitalisées,,
sibelga,,,,per_kwh,public_service,0.011375,21,,,,,2020-01-01,2020-12-31,Tarif des obligations de service public ,,
sibelga,,,,per_kwh,transport,0.01129630,21,,,,,2020-01-01,2020-12-31,,,
sibelga,,,,per_kwh,transport_surcharge,0.00897040,21,,,,,2020-01-01,2020-12-31,,,
sibelga,,,,per_kwh,other_tax,0.00314590,21,,,,,2020-01-01,2020-12-31,Cotisation fédérale,,
sibelga,,,,per_kwh,energy_contribution,0.00192642,21,,,,,2020-01-01,2020-12-31,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,21,,,,,2020-01-01,2020-12-31,,0.02669811321,0.0283
,,,,,,,,,,,,,,,,
sibelga,smart,false,,annual,management,10.26,21,,,,,2021-01-01,2021-12-31,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.0474460,21,7:00:00,22:00:00,,,2021-01-01,2021-12-31,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.0284680,21,22:00:00,7:00:00,,,2021-01-01,2021-12-31,,,
sibelga,smart,false,,annual,distribution,26.23,21,,,0,13,2021-01-01,2021-12-31,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,52.45,21,,,13,,2021-01-01,2021-12-31,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,519.98,21,,,,,2021-01-01,2021-12-31,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0136170,21,7:00:00,22:00:00,,,2021-01-01,2021-12-31,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0081700,21,22:00:00,7:00:00,,,2021-01-01,2021-12-31,,,
sibelga,smart,true,,annual_per_kw,peak,58.1691600,21,,,,,2021-01-01,2021-12-31,monthly peak,,
sibelga,simple,,,annual,management,259.99,21,,,,,2021-01-01,2021-12-31,,,
sibelga,simple,,day,per_kwh,distribution_day,0.0474460,21,7:00:00,22:00:00,,,2021-01-01,2021-12-31,,,
sibelga,simple,,night,per_kwh,distribution_night,0.0284680,21,22:00:00,7:00:00,,,2021-01-01,2021-12-31,,,
sibelga,simple,,,annual,distribution,26.23,21,,,0,13,2021-01-01,2021-12-31,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,52.45,21,,,13,,2021-01-01,2021-12-31,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.007081,21,,,,,2021-01-01,2021-12-31,,,
sibelga,,,,per_kwh,corp_tax,0.004064,21,,,,,2021-01-01,2021-12-31,,,
sibelga,,,,per_kwh,other_tax,0.001108,21,,,,,2021-01-01,2021-12-31,Charges de pensions non capitalisées,,
sibelga,,,,per_kwh,public_service,0.010719,21,,,,,2021-01-01,2021-12-31,,,
sibelga,,,,per_kwh,transport,0.01191100,21,,,,,2021-01-01,2021-12-31,,,
sibelga,,,,per_kwh,transport_surcharge,0.01173470,21,,,,,2021-01-01,2021-12-31,,,
sibelga,,,,per_kwh,other_tax,0.00347350,21,,,,,2021-01-01,2021-12-31,Cotisation fédérale,,
sibelga,,,,per_kwh,energy_contribution,0.00192642,21,,,,,2021-01-01,2021-12-31,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,21,,,,,2021-01-01,2021-12-31,,0.02669811321,0.0283
,,,,,,,,,,,,,,,,
sibelga,smart,false,,annual,management,10.25,21,,,,,2022-01-01,2022-02-28,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.0497790,21,7:00:00,22:00:00,,,2022-01-01,2022-02-28,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.0298690,21,22:00:00,7:00:00,,,2022-01-01,2022-02-28,,,
sibelga,smart,false,,annual,distribution,26.71,21,,,0,13,2022-01-01,2022-02-28,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,53.41,21,,,13,,2022-01-01,2022-02-28,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,519.92,21,,,,,2022-01-01,2022-02-28,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0199120,21,7:00:00,22:00:00,,,2022-01-01,2022-02-28,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0057940,21,22:00:00,7:00:00,,,2022-01-01,2022-02-28,,,
sibelga,smart,true,,annual_per_kw,peak,57.8839800,21,,,,,2022-01-01,2022-02-28,monthly peak,,
sibelga,simple,,,annual,management,259.96,21,,,,,2022-01-01,2022-02-28,,,
sibelga,simple,,day,per_kwh,distribution_day,0.0497790,21,7:00:00,22:00:00,,,2022-01-01,2022-02-28,,,
sibelga,simple,,night,per_kwh,distribution_night,0.0298690,21,22:00:00,7:00:00,,,2022-01-01,2022-02-28,,,
sibelga,simple,,,annual,distribution,26.71,21,,,0,13,2022-01-01,2022-02-28,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,53.41,21,,,13,,2022-01-01,2022-02-28,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.0072420,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,per_kwh,corp_tax,0.0040770,21,,,,,2022-01-01,2022-02-28,,,
