supplier_contract,rate_occurrence,direction,day_time_type,cost_type,amount_eur,tax_pct,date_start,date_end,dyn_market_source,dyn_market_mult,dyn_balance_eur_kwh,,
bolt_variable_online_2024,monthly,,,supply_fixed,7.54,6,2024-01-01,2024-12-31,,,,7.537735849,7.99
bolt_variable_online_2024,per_kwh,consumer,simple,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,0.07103773585,0.0753
bolt_variable_online_2024,per_kwh,consumer,day,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_online_2024,per_kwh,consumer,night,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_online_2024,per_kwh,consumer,night_excl,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_online_2024,per_kwh,producer,simple,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_variable_online_2024,per_kwh,producer,day,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_variable_online_2024,per_kwh,producer,night,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
,,,,,,,,,,,,,
bolt_variable_2024,monthly,,,supply_fixed,10.37,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,consumer,simple,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,consumer,day,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,consumer,night,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,consumer,night_excl,supply_consumption,0.0881,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,producer,simple,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,producer,day,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_variable_2024,per_kwh,producer,night,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
,,,,,,,,,,,,,
bolt_fixed_2024,monthly,,,supply_fixed,10.99,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,consumer,simple,supply_consumption,0.1719,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,consumer,day,supply_consumption,0.1719,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,consumer,night,supply_consumption,0.1719,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,consumer,night_excl,supply_consumption,0.1719,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,producer,simple,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,producer,day,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
bolt_fixed_2024,per_kwh,producer,night,supply_injection,0.0565,6,2024-01-01,2024-12-31,,,,,
,,,,,,,,,,,,,
bolt_dynamic_2024_1,monthly,,,supply_fixed,7.54,6,2024-01-01,2024-12-31,,,,,
bolt_dynamic_2024_1,per_kwh,consumer,,supply_consumption,,6,2024-01-01,2024-12-31,belpex,1.225,0.00999,,
bolt_dynamic_2024_1,per_kwh,producer,,supply_injection,,6,2024-01-01,2024-12-31,belpex,0.884,-0.005,,
